	superclass
K00001	SCFA fermentation
K00002	Cofactors/vitamins
K00003	Energy/central carbon
K00004	Energy/central carbon
K00005	Energy/central carbon
K00008	Energy/central carbon
K00009	Energy/central carbon
K00010	Energy/central carbon
K00012	Carbohydrate metabolism
K00013	Energy/central carbon
K00014	Tryptophan metabolism
K00015	Energy/central carbon
K00016	SCFA fermentation
K00018	Energy/central carbon
K00019	Other
K00020	Energy/central carbon
K00024	Energy/central carbon
K00026	Energy/central carbon
K00027	Energy/central carbon
K00029	Energy/central carbon
K00030	Cofactors/vitamins
K00031	Other
K00032	Energy/central carbon
K00033	Energy/central carbon
K00034	Energy/central carbon
K00036	Energy/central carbon
K00038	Energy/central carbon
K00040	Energy/central carbon
K00041	Energy/central carbon
K00042	Energy/central carbon
K00045	Carbohydrate metabolism
K00046	Energy/central carbon
K00052	Other
K00053	Energy/central carbon
K00054	Energy/central carbon
K00055	Energy/central carbon
K00057	Cofactors/vitamins
K00058	Energy/central carbon
K00059	Lipid metabolism
K00060	Amino acid metabolism
K00065	Energy/central carbon
K00067	Energy/central carbon
K00068	Energy/central carbon
K00073	Cofactors/vitamins
K00074	Energy/central carbon
K00075	Cell envelope/biogenesis
K00077	Energy/central carbon
K00086	Energy/central carbon
K00087	Carbohydrate metabolism
K00088	Energy/central carbon
K00090	Energy/central carbon
K00091	Energy/central carbon
K00094	Carbohydrate metabolism
K00096	Cofactors/vitamins
K00097	Other
K00098	Other
K00099	Energy/central carbon
K00101	SCFA fermentation
K00102	SCFA fermentation
K00104	Cofactors/vitamins
K00105	Energy/central carbon
K00108	Carbohydrate metabolism
K00111	Energy/central carbon
K00112	Other
K00113	Other
K00114	Cofactors/vitamins
K00116	Energy/central carbon
K00117	Carbohydrate metabolism
K00121	Energy/central carbon
K00122	SCFA fermentation
K00123	Antibiotic resistance/efflux
K00124	Transport
K00127	SCFA fermentation
K00128	Cofactors/vitamins
K00130	Transport
K00131	Energy/central carbon
K00133	Amino acid metabolism
K00134	Energy/central carbon
K00135	Synaptic pathways
K00138	Transcriptional regulation
K00140	Energy/central carbon
K00145	Energy/central carbon
K00146	Other
K00147	Amino acid metabolism
K00148	Amino acid metabolism
K00154	Transcriptional regulation
K00156	SCFA fermentation
K00158	Energy/central carbon
K00161	Energy/central carbon
K00162	Energy/central carbon
K00163	Energy/central carbon
K00164	Energy/central carbon
K00166	Other
K00167	Other
K00169	Energy/central carbon
K00184	Transport
K00185	Transport
K00196	Energy/central carbon
K00208	Lipid metabolism
K00209	Cofactors/vitamins
K00215	Energy/central carbon
K00216	Other
K00218	Other
K00220	Tryptophan metabolism
K00226	Energy/central carbon
K00228	Energy/central carbon
K00230	Cofactors/vitamins
K00239	Energy/central carbon
K00240	Energy/central carbon
K00241	Energy/central carbon
K00242	Transport
K00243	Other
K00244	Energy/central carbon
K00245	Energy/central carbon
K00246	Energy/central carbon
K00247	Energy/central carbon
K00248	Energy/central carbon
K00249	Energy/central carbon
K00254	Energy/central carbon
K00259	Amino acid metabolism
K00262	Energy/central carbon
K00265	Energy/central carbon
K00266	Energy/central carbon
K00274	Synaptic pathways
K00275	Energy/central carbon
K00276	Energy/central carbon
K00278	Amino acid metabolism
K00281	Amino acid metabolism
K00283	Amino acid metabolism
K00284	Amino acid metabolism
K00285	Amino acid metabolism
K00286	Energy/central carbon
K00287	Energy/central carbon
K00297	Cofactors/vitamins
K00298	Amino acid metabolism
K00299	Cofactors/vitamins
K00301	Energy/central carbon
K00304	Energy/central carbon
K00305	Energy/central carbon
K00311	Energy/central carbon
K00316	Transport
K00322	Cofactors/vitamins
K00324	Cofactors/vitamins
K00325	Cofactors/vitamins
K00326	Cofactors/vitamins
K00330	Energy/central carbon
K00331	Energy/central carbon
K00332	Energy/central carbon
K00333	Energy/central carbon
K00334	Energy/central carbon
K00335	Energy/central carbon
K00336	Energy/central carbon
K00337	Energy/central carbon
K00338	Energy/central carbon
K00339	Energy/central carbon
K00340	Energy/central carbon
K00341	Energy/central carbon
K00342	Energy/central carbon
K00343	Energy/central carbon
K00344	Cofactors/vitamins
K00346	Transport
K00347	Transport
K00348	Transport
K00349	Transport
K00350	Transport
K00354	Other
K00355	Cofactors/vitamins
K00362	Energy/central carbon
K00363	Energy/central carbon
K00364	Energy/central carbon
K00366	Energy/central carbon
K00370	Energy/central carbon
K00371	Energy/central carbon
K00372	Cofactors/vitamins
K00373	Cofactors/vitamins
K00374	Energy/central carbon
K00375	Transcriptional regulation
K00380	Energy/central carbon
K00381	Cofactors/vitamins
K00382	Energy/central carbon
K00383	Amino acid metabolism
K00384	Cofactors/vitamins
K00389	Transport
K00390	Other
K00410	Cofactors/vitamins
K00411	Cofactors/vitamins
K00412	Cofactors/vitamins
K00413	Cofactors/vitamins
K00424	Cofactors/vitamins
K00425	Cofactors/vitamins
K00426	Cofactors/vitamins
K00427	SCFA fermentation
K00428	Energy/central carbon
K00432	Energy/central carbon
K00433	Cofactors/vitamins
K00435	Cofactors/vitamins
K00459	Cofactors/vitamins
K00467	SCFA fermentation
K00483	Tryptophan metabolism
K00484	Cofactors/vitamins
K00520	Transcriptional regulation
K00523	Carbohydrate metabolism
K00525	Energy/central carbon
K00526	Energy/central carbon
K00527	Energy/central carbon
K00528	Transcriptional regulation
K00537	Energy/central carbon
K00547	Carbohydrate metabolism
K00548	Carbohydrate metabolism
K00549	Carbohydrate metabolism
K00554	RNA processing/degradation
K00556	RNA processing/degradation
K00557	RNA processing/degradation
K00558	DNA replication/repair/maintenance
K00560	Carbohydrate metabolism
K00563	RNA processing/degradation
K00564	RNA processing/degradation
K00566	RNA processing/degradation
K00567	Amino acid metabolism
K00568	Carbohydrate metabolism
K00569	RNA processing/degradation
K00570	RNA processing/degradation
K00571	DNA replication/repair/maintenance
K00573	Amino acid metabolism
K00574	Lipid metabolism
K00575	RNA processing/degradation
K00588	Carbohydrate metabolism
K00590	DNA replication/repair/maintenance
K00595	Carbohydrate metabolism
K00596	Energy/central carbon
K00598	RNA processing/degradation
K00600	Amino acid metabolism
K00602	Carbohydrate metabolism
K00604	RNA processing/degradation
K00605	Amino acid metabolism
K00606	Carbohydrate metabolism
K00609	Amino acid metabolism
K00610	Amino acid metabolism
K00611	Amino acid metabolism
K00615	Carbohydrate metabolism
K00616	Carbohydrate metabolism
K00620	Amino acid metabolism
K00625	SCFA fermentation
K00626	Carbohydrate metabolism
K00627	Energy/central carbon
K00631	Lipid metabolism
K00632	Carbohydrate metabolism
K00633	Carbohydrate metabolism
K00634	Other
K00638	Carbohydrate metabolism
K00639	Amino acid metabolism
K00640	Amino acid metabolism
K00641	Carbohydrate metabolism
K00643	Translation/ribosome
K00645	Lipid metabolism
K00647	Lipid metabolism
K00648	Lipid metabolism
K00651	Carbohydrate metabolism
K00652	Transport
K00654	Amino acid metabolism
K00655	Lipid metabolism
K00656	SCFA fermentation
K00657	Carbohydrate metabolism
K00658	Energy/central carbon
K00661	Carbohydrate metabolism
K00662	Carbohydrate metabolism
K00666	Energy/central carbon
K00673	Amino acid metabolism
K00674	Antibiotic resistance/efflux
K00675	Carbohydrate metabolism
K00677	Cell envelope/biogenesis
K00681	Amino acid metabolism
K00684	Translation/ribosome
K00687	Cell envelope/biogenesis
K00688	Carbohydrate metabolism
K00689	Other
K00690	Carbohydrate metabolism
K00691	Carbohydrate metabolism
K00692	Carbohydrate metabolism
K00694	Carbohydrate metabolism
K00697	Carbohydrate metabolism
K00700	Carbohydrate metabolism
K00702	Carbohydrate metabolism
K00703	Carbohydrate metabolism
K00705	Other
K00712	Carbohydrate metabolism
K00720	Carbohydrate metabolism
K00721	Carbohydrate metabolism
K00728	Carbohydrate metabolism
K00737	Carbohydrate metabolism
K00748	Lipid metabolism
K00754	Carbohydrate metabolism
K00756	Nucleotide metabolism
K00757	Carbohydrate metabolism
K00758	Carbohydrate metabolism
K00759	Carbohydrate metabolism
K00760	Carbohydrate metabolism
K00761	RNA processing/degradation
K00762	Carbohydrate metabolism
K00763	Translation/ribosome
K00764	Carbohydrate metabolism
K00765	Carbohydrate metabolism
K00766	Tryptophan metabolism
K00767	Nucleotide metabolism
K00768	Nucleotide metabolism
K00769	Carbohydrate metabolism
K00772	Carbohydrate metabolism
K00773	RNA processing/degradation
K00782	SCFA fermentation
K00783	RNA processing/degradation
K00784	Translation/ribosome
K00786	Carbohydrate metabolism
K00788	Cofactors/vitamins
K00789	Carbohydrate metabolism
K00790	Cell envelope/biogenesis
K00791	RNA processing/degradation
K00793	Cofactors/vitamins
K00794	Carbohydrate metabolism
K00795	Carbohydrate metabolism
K00796	Carbohydrate metabolism
K00797	Transport
K00798	Carbohydrate metabolism
K00799	Carbohydrate metabolism
K00800	Carbohydrate metabolism
K00801	Carbohydrate metabolism
K00805	Carbohydrate metabolism
K00806	Carbohydrate metabolism
K00812	Amino acid metabolism
K00813	Amino acid metabolism
K00817	Carbohydrate metabolism
K00820	Carbohydrate metabolism
K00821	Carbohydrate metabolism
K00822	Carbohydrate metabolism
K00823	SCFA fermentation
K00824	Amino acid metabolism
K00826	Carbohydrate metabolism
K00830	Amino acid metabolism
K00831	Carbohydrate metabolism
K00832	Tryptophan metabolism
K00833	Carbohydrate metabolism
K00835	Carbohydrate metabolism
K00836	Carbohydrate metabolism
K00839	Carbohydrate metabolism
K00840	Carbohydrate metabolism
K00841	Carbohydrate metabolism
K00845	Carbohydrate metabolism
K00846	Other
K00847	Carbohydrate metabolism
K00848	Other
K00849	Carbohydrate metabolism
K00850	Carbohydrate metabolism
K00851	Carbohydrate metabolism
K00852	Carbohydrate metabolism
K00853	Carbohydrate metabolism
K00854	Carbohydrate metabolism
K00855	Other
K00857	Carbohydrate metabolism
K00858	Cofactors/vitamins
K00859	Carbohydrate metabolism
K00860	Carbohydrate metabolism
K00863	Cofactors/vitamins
K00864	Carbohydrate metabolism
K00865	Carbohydrate metabolism
K00867	Carbohydrate metabolism
K00868	Cofactors/vitamins
K00869	Lipid metabolism
K00872	Carbohydrate metabolism
K00873	Carbohydrate metabolism
K00874	Carbohydrate metabolism
K00876	Carbohydrate metabolism
K00878	Carbohydrate metabolism
K00880	Carbohydrate metabolism
K00882	Carbohydrate metabolism
K00883	Energy/central carbon
K00884	Carbohydrate metabolism
K00887	Carbohydrate metabolism
K00891	Tryptophan metabolism
K00892	Other
K00899	Other
K00901	Carbohydrate metabolism
K00906	Carbohydrate metabolism
K00912	Other
K00917	Other
K00919	Carbohydrate metabolism
K00925	SCFA fermentation
K00926	Carbohydrate metabolism
K00927	Carbohydrate metabolism
K00928	Amino acid metabolism
K00929	SCFA fermentation
K00930	Carbohydrate metabolism
K00931	Amino acid metabolism
K00932	Carbohydrate metabolism
K00936	Signal transduction
K00937	Carbohydrate metabolism
K00938	Carbohydrate metabolism
K00939	Carbohydrate metabolism
K00940	Nucleotide metabolism
K00941	Carbohydrate metabolism
K00942	Carbohydrate metabolism
K00943	Carbohydrate metabolism
K00945	Carbohydrate metabolism
K00946	Cofactors/vitamins
K00948	Carbohydrate metabolism
K00949	Cofactors/vitamins
K00950	Carbohydrate metabolism
K00951	Signal transduction
K00954	Carbohydrate metabolism
K00955	Carbohydrate metabolism
K00956	Carbohydrate metabolism
K00957	Carbohydrate metabolism
K00958	Carbohydrate metabolism
K00962	RNA processing/degradation
K00963	RNA processing/degradation
K00965	Carbohydrate metabolism
K00968	Carbohydrate metabolism
K00969	Nucleotide metabolism
K00970	DNA replication/repair/maintenance
K00971	Carbohydrate metabolism
K00973	Carbohydrate metabolism
K00974	RNA processing/degradation
K00975	Carbohydrate metabolism
K00979	Carbohydrate metabolism
K00980	Carbohydrate metabolism
K00981	Carbohydrate metabolism
K00982	Tryptophan metabolism
K00984	Antibiotic resistance/efflux
K00986	DNA replication/repair/maintenance
K00989	Translation/ribosome
K00990	Carbohydrate metabolism
K00991	Carbohydrate metabolism
K00992	Carbohydrate metabolism
K00995	Carbohydrate metabolism
K00997	Lipid metabolism
K00998	Carbohydrate metabolism
K01000	Carbohydrate metabolism
K01002	Other
K01006	Carbohydrate metabolism
K01007	Carbohydrate metabolism
K01008	Carbohydrate metabolism
K01011	RNA processing/degradation
K01012	Cofactors/vitamins
K01023	Carbohydrate metabolism
K01026	Carbohydrate metabolism
K01029	Carbohydrate metabolism
K01042	RNA processing/degradation
K01048	Other
K01049	Synaptic pathways
K01050	Other
K01051	Other
K01053	Other
K01056	RNA processing/degradation
K01057	Carbohydrate metabolism
K01058	Carbohydrate metabolism
K01061	Other
K01066	Carbohydrate metabolism
K01067	Carbohydrate metabolism
K01069	Other
K01070	Carbohydrate metabolism
K01071	Lipid metabolism
K01073	Carbohydrate metabolism
K01075	Carbohydrate metabolism
K01077	Carbohydrate metabolism
K01079	Carbohydrate metabolism
K01081	Carbohydrate metabolism
K01082	Nucleotide metabolism
K01085	Carbohydrate metabolism
K01087	Carbohydrate metabolism
K01089	Energy/central carbon
K01090	Carbohydrate metabolism
K01091	Carbohydrate metabolism
K01092	Carbohydrate metabolism
K01093	Carbohydrate metabolism
K01095	Carbohydrate metabolism
K01096	Carbohydrate metabolism
K01101	Carbohydrate metabolism
K01104	Tryptophan metabolism
K01113	Carbohydrate metabolism
K01114	Carbohydrate metabolism
K01118	Cofactors/vitamins
K01119	Nucleotide metabolism
K01120	Nucleotide metabolism
K01126	Carbohydrate metabolism
K01129	Other
K01133	Carbohydrate metabolism
K01139	Carbohydrate metabolism
K01141	DNA replication/repair/maintenance
K01142	DNA replication/repair/maintenance
K01146	Other
K01147	Carbohydrate metabolism
K01150	Carbohydrate metabolism
K01151	Carbohydrate metabolism
K01153	Defense systems
K01154	Defense systems
K01155	Defense systems
K01156	DNA replication/repair/maintenance
K01159	DNA replication/repair/maintenance
K01166	Translation/ribosome
K01169	RNA processing/degradation
K01173	Defense systems
K01175	Carbohydrate metabolism
K01176	Carbohydrate metabolism
K01178	Other
K01179	Other
K01181	Carbohydrate metabolism
K01182	Carbohydrate metabolism
K01183	Carbohydrate metabolism
K01185	Carbohydrate metabolism
K01187	Carbohydrate metabolism
K01188	Carbohydrate metabolism
K01190	Carbohydrate metabolism
K01191	Carbohydrate metabolism
K01193	Carbohydrate metabolism
K01194	Other
K01195	Carbohydrate metabolism
K01197	Carbohydrate metabolism
K01198	Carbohydrate metabolism
K01200	Carbohydrate metabolism
K01201	Carbohydrate metabolism
K01206	Other
K01207	Carbohydrate metabolism
K01208	Carbohydrate metabolism
K01209	Carbohydrate metabolism
K01212	Carbohydrate metabolism
K01214	Other
K01215	Carbohydrate metabolism
K01220	Carbohydrate metabolism
K01222	Carbohydrate metabolism
K01223	Carbohydrate metabolism
K01224	Cell envelope/biogenesis
K01226	Carbohydrate metabolism
K01227	Carbohydrate metabolism
K01232	Carbohydrate metabolism
K01233	Other
K01235	Carbohydrate metabolism
K01236	Other
K01237	Other
K01239	Nucleotide metabolism
K01241	Carbohydrate metabolism
K01243	Carbohydrate metabolism
K01246	DNA replication/repair/maintenance
K01247	DNA replication/repair/maintenance
K01250	Nucleotide metabolism
K01251	Other
K01252	Carbohydrate metabolism
K01255	Carbohydrate metabolism
K01256	Carbohydrate metabolism
K01258	Carbohydrate metabolism
K01259	Amino acid metabolism
K01261	Carbohydrate metabolism
K01262	Carbohydrate metabolism
K01265	Carbohydrate metabolism
K01266	Carbohydrate metabolism
K01269	Carbohydrate metabolism
K01270	Carbohydrate metabolism
K01271	Carbohydrate metabolism
K01273	Transport
K01274	Carbohydrate metabolism
K01278	Carbohydrate metabolism
K01281	Carbohydrate metabolism
K01284	Carbohydrate metabolism
K01286	Amino acid metabolism
K01295	Amino acid metabolism
K01297	Amino acid metabolism
K01299	Amino acid metabolism
K01303	Carbohydrate metabolism
K01304	Carbohydrate metabolism
K01305	Carbohydrate metabolism
K01318	Translation/ribosome
K01322	Energy/central carbon
K01338	Protein folding/quality control
K01347	Amino acid metabolism
K01354	Other
K01356	Signal transduction
K01358	Protein folding/quality control
K01361	Other
K01372	Carbohydrate metabolism
K01406	Other
K01407	Protein folding/quality control
K01409	Carbohydrate metabolism
K01414	Other
K01419	Protein folding/quality control
K01420	Transcriptional regulation
K01421	Transport
K01424	Carbohydrate metabolism
K01425	Other
K01426	Carbohydrate metabolism
K01428	Other
K01429	Other
K01430	Other
K01433	Carbohydrate metabolism
K01434	Amino acid metabolism
K01436	Other
K01438	Carbohydrate metabolism
K01439	Carbohydrate metabolism
K01442	Carbohydrate metabolism
K01443	Carbohydrate metabolism
K01444	Carbohydrate metabolism
K01447	Amino acid metabolism
K01448	Amino acid metabolism
K01451	Other
K01452	Carbohydrate metabolism
K01457	Other
K01458	Carbohydrate metabolism
K01460	Translation/ribosome
K01461	Transport
K01462	Carbohydrate metabolism
K01464	Other
K01465	Carbohydrate metabolism
K01466	Other
K01467	Antibiotic resistance/efflux
K01468	Other
K01470	Carbohydrate metabolism
K01473	Other
K01474	Other
K01476	Carbohydrate metabolism
K01478	Amino acid metabolism
K01479	Carbohydrate metabolism
K01480	Other
K01484	Other
K01485	Carbohydrate metabolism
K01486	Amino acid metabolism
K01487	Carbohydrate metabolism
K01488	Amino acid metabolism
K01489	Carbohydrate metabolism
K01491	Cofactors/vitamins
K01493	Carbohydrate metabolism
K01494	Carbohydrate metabolism
K01495	Carbohydrate metabolism
K01496	Carbohydrate metabolism
K01497	Carbohydrate metabolism
K01498	Energy/central carbon
K01502	Other
K01507	Carbohydrate metabolism
K01512	Carbohydrate metabolism
K01515	Carbohydrate metabolism
K01520	Carbohydrate metabolism
K01521	Carbohydrate metabolism
K01523	Carbohydrate metabolism
K01524	Carbohydrate metabolism
K01525	Other
K01531	Transport
K01533	Transport
K01534	Transport
K01535	Transport
K01537	Transport
K01546	Transport
K01547	Transport
K01548	Transport
K01551	Transport
K01560	Carbohydrate metabolism
K01563	Carbohydrate metabolism
K01568	Energy/central carbon
K01569	Energy/central carbon
K01571	Energy/central carbon
K01574	Energy/central carbon
K01575	Energy/central carbon
K01576	Energy/central carbon
K01577	Energy/central carbon
K01579	Amino acid metabolism
K01580	Synaptic pathways
K01581	Amino acid metabolism
K01582	Amino acid metabolism
K01584	Amino acid metabolism
K01585	Amino acid metabolism
K01586	Energy/central carbon
K01588	Energy/central carbon
K01589	Translation/ribosome
K01590	Amino acid metabolism
K01591	Energy/central carbon
K01595	Carbohydrate metabolism
K01597	Energy/central carbon
K01598	Energy/central carbon
K01599	Carbohydrate metabolism
K01607	Energy/central carbon
K01609	Tryptophan metabolism
K01610	Energy/central carbon
K01611	Carbohydrate metabolism
K01612	Energy/central carbon
K01613	Energy/central carbon
K01619	Energy/central carbon
K01620	Energy/central carbon
K01621	Energy/central carbon
K01623	Energy/central carbon
K01624	Energy/central carbon
K01625	Energy/central carbon
K01626	Carbohydrate metabolism
K01627	Energy/central carbon
K01628	Energy/central carbon
K01629	Energy/central carbon
K01630	Energy/central carbon
K01631	Energy/central carbon
K01633	Energy/central carbon
K01634	Energy/central carbon
K01635	Energy/central carbon
K01637	Other
K01638	Energy/central carbon
K01639	Energy/central carbon
K01641	Carbohydrate metabolism
K01643	Carbohydrate metabolism
K01644	Energy/central carbon
K01646	Carbohydrate metabolism
K01647	Carbohydrate metabolism
K01649	Other
K01652	Carbohydrate metabolism
K01653	Carbohydrate metabolism
K01657	Tryptophan metabolism
K01658	Tryptophan metabolism
K01659	Carbohydrate metabolism
K01661	Energy/central carbon
K01662	Carbohydrate metabolism
K01663	Energy/central carbon
K01664	Translation/ribosome
K01665	Translation/ribosome
K01669	Other
K01671	Energy/central carbon
K01673	Energy/central carbon
K01674	Energy/central carbon
K01676	Energy/central carbon
K01679	Energy/central carbon
K01681	Energy/central carbon
K01682	Energy/central carbon
K01684	Energy/central carbon
K01685	Other
K01686	Energy/central carbon
K01687	Energy/central carbon
K01689	Energy/central carbon
K01690	Energy/central carbon
K01692	Energy/central carbon
K01693	Energy/central carbon
K01695	Tryptophan metabolism
K01696	Tryptophan metabolism
K01697	Carbohydrate metabolism
K01698	Energy/central carbon
K01699	Energy/central carbon
K01703	Energy/central carbon
K01704	Energy/central carbon
K01706	Energy/central carbon
K01708	Energy/central carbon
K01710	Energy/central carbon
K01711	Energy/central carbon
K01712	Energy/central carbon
K01714	Energy/central carbon
K01715	Energy/central carbon
K01716	Lipid metabolism
K01719	Carbohydrate metabolism
K01720	Energy/central carbon
K01727	Other
K01733	Amino acid metabolism
K01734	Other
K01735	Energy/central carbon
K01736	Tryptophan metabolism
K01737	Energy/central carbon
K01738	Amino acid metabolism
K01739	Carbohydrate metabolism
K01740	Carbohydrate metabolism
K01744	Amino acid metabolism
K01745	Signal transduction
K01749	Carbohydrate metabolism
K01750	Amino acid metabolism
K01751	Energy/central carbon
K01752	Amino acid metabolism
K01753	Amino acid metabolism
K01754	Amino acid metabolism
K01755	Energy/central carbon
K01756	Energy/central carbon
K01758	Carbohydrate metabolism
K01759	Energy/central carbon
K01760	Amino acid metabolism
K01766	Amino acid metabolism
K01768	Carbohydrate metabolism
K01770	Carbohydrate metabolism
K01772	Energy/central carbon
K01775	Amino acid metabolism
K01776	Amino acid metabolism
K01777	Amino acid metabolism
K01778	Energy/central carbon
K01779	Amino acid metabolism
K01782	Energy/central carbon
K01783	Energy/central carbon
K01784	Energy/central carbon
K01785	Energy/central carbon
K01788	Energy/central carbon
K01790	Energy/central carbon
K01791	Energy/central carbon
K01792	Energy/central carbon
K01802	Energy/central carbon
K01803	Energy/central carbon
K01804	Energy/central carbon
K01805	Energy/central carbon
K01807	Energy/central carbon
K01808	Energy/central carbon
K01809	Energy/central carbon
K01810	Energy/central carbon
K01811	Carbohydrate metabolism
K01812	Energy/central carbon
K01813	Energy/central carbon
K01814	Energy/central carbon
K01815	Energy/central carbon
K01817	Tryptophan metabolism
K01818	Energy/central carbon
K01819	Carbohydrate metabolism
K01821	Energy/central carbon
K01823	Energy/central carbon
K01825	Energy/central carbon
K01829	Other
K01834	Energy/central carbon
K01835	Energy/central carbon
K01838	Energy/central carbon
K01839	Energy/central carbon
K01840	Other
K01843	Amino acid metabolism
K01845	Amino acid metabolism
K01851	Other
K01854	Energy/central carbon
K01856	Antibiotic resistance/efflux
K01857	Antibiotic resistance/efflux
K01866	Tryptophan metabolism
K01867	Tryptophan metabolism
K01868	Translation/ribosome
K01869	Translation/ribosome
K01870	Translation/ribosome
K01872	Translation/ribosome
K01873	Translation/ribosome
K01874	Translation/ribosome
K01875	Translation/ribosome
K01876	Translation/ribosome
K01878	Translation/ribosome
K01879	Translation/ribosome
K01881	Mobilome
K01883	Translation/ribosome
K01885	Translation/ribosome
K01886	Translation/ribosome
K01887	Translation/ribosome
K01889	Tryptophan metabolism
K01890	Tryptophan metabolism
K01892	Translation/ribosome
K01893	Translation/ribosome
K01894	Translation/ribosome
K01895	Translation/ribosome
K01897	Energy/central carbon
K01902	Carbohydrate metabolism
K01908	Translation/ribosome
K01910	Translation/ribosome
K01911	Translation/ribosome
K01912	Carbohydrate metabolism
K01914	Amino acid metabolism
K01915	Translation/ribosome
K01916	Cofactors/vitamins
K01918	Amino acid metabolism
K01919	Amino acid metabolism
K01920	Amino acid metabolism
K01921	Amino acid metabolism
K01923	Translation/ribosome
K01924	Cell envelope/biogenesis
K01925	Cell envelope/biogenesis
K01926	RNA processing/degradation
K01928	Cell envelope/biogenesis
K01929	Cell envelope/biogenesis
K01933	Translation/ribosome
K01934	Translation/ribosome
K01935	Translation/ribosome
K01937	Translation/ribosome
K01938	Translation/ribosome
K01939	Translation/ribosome
K01940	Translation/ribosome
K01941	Translation/ribosome
K01945	Amino acid metabolism
K01950	Translation/ribosome
K01951	Translation/ribosome
K01952	Translation/ribosome
K01953	Translation/ribosome
K01955	Translation/ribosome
K01956	Translation/ribosome
K01958	Translation/ribosome
K01961	Cofactors/vitamins
K01962	Translation/ribosome
K01963	Translation/ribosome
K01971	DNA replication/repair/maintenance
K01972	DNA replication/repair/maintenance
K01975	Nucleotide metabolism
K01989	Tryptophan metabolism
K01990	Transport
K01991	Transport
K01992	Transport
K01993	Transport
K01995	Transport
K01996	Transport
K01997	Transport
K01998	Transport
K01999	Transport
K02000	Transport
K02001	Transport
K02002	Transport
K02003	Transport
K02004	Transport
K02005	Transport
K02006	Transport
K02007	Transport
K02008	Transport
K02009	Transport
K02010	Transport
K02011	Transport
K02012	Transport
K02013	Transport
K02014	Transport
K02015	Transport
K02016	Transport
K02017	Transport
K02018	Transport
K02019	Transport
K02020	Transport
K02021	Transport
K02022	Transport
K02024	Other
K02025	Transport
K02026	Transport
K02027	Transport
K02028	Transport
K02029	Transport
K02030	Transport
K02031	Transport
K02032	Transport
K02033	Transport
K02034	Transport
K02035	Transport
K02036	Transport
K02037	Transport
K02038	Transport
K02039	Transport
K02040	Transport
K02041	Transport
K02042	Transport
K02043	Transcriptional regulation
K02044	Transport
K02045	Transport
K02046	Transport
K02047	Transport
K02048	Transport
K02049	Transport
K02050	Transport
K02051	Transport
K02052	Transport
K02053	Transport
K02054	Transport
K02055	Transport
K02056	Transport
K02057	Transport
K02058	Transport
K02062	Transport
K02063	Transport
K02064	Transport
K02065	Transport
K02066	Transport
K02067	Transport
K02068	Transport
K02069	Transport
K02071	Transport
K02072	Transport
K02073	Transport
K02074	Transport
K02075	Transport
K02076	Transcriptional regulation
K02077	Transport
K02078	Lipid metabolism
K02081	Transcriptional regulation
K02082	Energy/central carbon
K02083	Carbohydrate metabolism
K02086	DNA replication/repair/maintenance
K02099	Transcriptional regulation
K02100	Antibiotic resistance/efflux
K02103	Transcriptional regulation
K02108	Transport
K02109	Transport
K02110	Transport
K02111	Transport
K02112	Transport
K02113	Transport
K02114	Transport
K02115	Transport
K02116	Other
K02160	Cofactors/vitamins
K02167	Transcriptional regulation
K02168	Transport
K02169	Carbohydrate metabolism
K02170	Carbohydrate metabolism
K02171	Antibiotic resistance/efflux
K02182	Translation/ribosome
K02188	Carbohydrate metabolism
K02189	Carbohydrate metabolism
K02190	Energy/central carbon
K02191	Carbohydrate metabolism
K02192	Defense systems
K02193	Transport
K02194	Transport
K02195	Transport
K02197	Translation/ribosome
K02198	Translation/ribosome
K02199	Translation/ribosome
K02200	Translation/ribosome
K02204	Carbohydrate metabolism
K02205	Transport
K02217	Other
K02221	Signal transduction
K02224	Translation/ribosome
K02225	Carbohydrate metabolism
K02226	Carbohydrate metabolism
K02227	Translation/ribosome
K02229	Carbohydrate metabolism
K02230	Energy/central carbon
K02231	Carbohydrate metabolism
K02232	Translation/ribosome
K02233	Carbohydrate metabolism
K02234	Other
K02236	Carbohydrate metabolism
K02237	Mobilome
K02238	Mobilome
K02240	Mobilome
K02242	Mobilome
K02243	Mobilome
K02244	Mobilome
K02245	Mobilome
K02246	Mobilome
K02248	Mobilome
K02255	Other
K02257	Cofactors/vitamins
K02259	Cofactors/vitamins
K02274	Cofactors/vitamins
K02275	Cofactors/vitamins
K02276	Cofactors/vitamins
K02277	Cofactors/vitamins
K02291	Carbohydrate metabolism
K02297	Cofactors/vitamins
K02298	Cofactors/vitamins
K02299	Cofactors/vitamins
K02300	Cofactors/vitamins
K02302	Carbohydrate metabolism
K02303	Carbohydrate metabolism
K02304	Energy/central carbon
K02313	DNA replication/repair/maintenance
K02314	DNA replication/repair/maintenance
K02315	DNA replication/repair/maintenance
K02316	DNA replication/repair/maintenance
K02317	DNA replication/repair/maintenance
K02334	DNA replication/repair/maintenance
K02335	DNA replication/repair/maintenance
K02336	DNA replication/repair/maintenance
K02337	DNA replication/repair/maintenance
K02338	DNA replication/repair/maintenance
K02339	DNA replication/repair/maintenance
K02340	DNA replication/repair/maintenance
K02341	DNA replication/repair/maintenance
K02342	DNA replication/repair/maintenance
K02343	DNA replication/repair/maintenance
K02344	DNA replication/repair/maintenance
K02345	DNA replication/repair/maintenance
